FEATURES_SELECTION,OUTLIER_REMOVAL,DATA_BALANCING,CLASSIFIER,SCORE,FEATURES
"SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'),
                prefit=True)",None,"SMOTE(k_neighbors=1, sampling_strategy='minority')","[SMOTE(k_neighbors=1, sampling_strategy='minority')
 AdaBoostClassifier(learning_rate=0.5, n_estimators=100)]",0.5728181818181818,"['fanin' 'wmc' 'lcom' 'staticFieldsQty' 'nosi' 'loc' 'returnQty'
 'comparisonsQty' 'stringLiteralsQty' 'numbersQty' 'assignmentsQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'),
                prefit=True)",None,"SMOTE(k_neighbors=1, sampling_strategy='minority')","[SMOTE(k_neighbors=1, sampling_strategy='minority')
 AdaBoostClassifier(learning_rate=0.8, n_estimators=75)]",0.6429565217391303,"['fanin' 'wmc' 'lcom' 'staticFieldsQty' 'nosi' 'loc' 'returnQty'
 'comparisonsQty' 'stringLiteralsQty' 'numbersQty' 'assignmentsQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'),
                prefit=True)",None,"SMOTE(k_neighbors=2, sampling_strategy='minority')","[SMOTE(k_neighbors=2, sampling_strategy='minority')
 AdaBoostClassifier(algorithm='SAMME', learning_rate=1, n_estimators=75)]",0.6732898550724637,"['fanin' 'wmc' 'lcom' 'staticFieldsQty' 'nosi' 'loc' 'returnQty'
 'comparisonsQty' 'stringLiteralsQty' 'numbersQty' 'assignmentsQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'),
                prefit=True)",None,"SMOTE(k_neighbors=3, sampling_strategy='minority')","[SMOTE(k_neighbors=3, sampling_strategy='minority')
 RandomForestClassifier(max_features=10, min_samples_leaf=3,
                        min_samples_split=10, n_estimators=10)]",0.5901917502787067,"['fanin' 'wmc' 'lcom' 'staticFieldsQty' 'nosi' 'loc' 'returnQty'
 'comparisonsQty' 'stringLiteralsQty' 'numbersQty' 'assignmentsQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'),
                prefit=True)",None,"SMOTE(k_neighbors=1, sampling_strategy='all')","[SMOTE(k_neighbors=1, sampling_strategy='all')
 AdaBoostClassifier(learning_rate=0.8, n_estimators=75)]",0.5720534103577581,"['fanin' 'wmc' 'lcom' 'staticFieldsQty' 'nosi' 'loc' 'returnQty'
 'comparisonsQty' 'stringLiteralsQty' 'numbersQty' 'assignmentsQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'),
                prefit=True)",None,"SMOTE(k_neighbors=2, sampling_strategy='all')","[SMOTE(k_neighbors=2, sampling_strategy='all')
 AdaBoostClassifier(learning_rate=1)]",0.549974358974359,"['fanin' 'wmc' 'lcom' 'staticFieldsQty' 'nosi' 'loc' 'returnQty'
 'comparisonsQty' 'stringLiteralsQty' 'numbersQty' 'assignmentsQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'),
                prefit=True)",None,"SMOTE(k_neighbors=3, sampling_strategy='all')","[SMOTE(k_neighbors=3, sampling_strategy='all')
 RandomForestClassifier(max_features=10, min_samples_leaf=3, min_samples_split=8,
                        n_estimators=20)                                         ]",0.5848531468531469,"['fanin' 'wmc' 'lcom' 'staticFieldsQty' 'nosi' 'loc' 'returnQty'
 'comparisonsQty' 'stringLiteralsQty' 'numbersQty' 'assignmentsQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'),
                prefit=True)",None,RandomOverSampler(sampling_strategy='minority'),"[RandomOverSampler(sampling_strategy='minority')
 GradientBoostingClassifier(max_leaf_nodes=10, min_samples_split=8,
                            min_weight_fraction_leaf=0)            ]",0.6112642140468227,"['fanin' 'wmc' 'lcom' 'staticFieldsQty' 'nosi' 'loc' 'returnQty'
 'comparisonsQty' 'stringLiteralsQty' 'numbersQty' 'assignmentsQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'),
                prefit=True)",None,"RandomOverSampler(sampling_strategy='minority', shrinkage=0)","[RandomOverSampler(sampling_strategy='minority', shrinkage=0)
 RandomForestClassifier(max_features=3, min_samples_leaf=3, min_samples_split=10,
                        n_estimators=20)                                         ]",0.5978919196745284,"['fanin' 'wmc' 'lcom' 'staticFieldsQty' 'nosi' 'loc' 'returnQty'
 'comparisonsQty' 'stringLiteralsQty' 'numbersQty' 'assignmentsQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'),
                prefit=True)",None,"RandomOverSampler(sampling_strategy='minority', shrinkage=1)","[RandomOverSampler(sampling_strategy='minority', shrinkage=1)
 XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
               colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
               early_stopping_rounds=None, enable_categorical=False,
               eval_metric=None, gamma=0, gpu_id=-1, grow_policy='depthwise',
               importance_type=None, interaction_constraints='',
               learning_rate=0.300000012, max_bin=256, max_cat_to_onehot=4,
               max_delta_step=0, max_depth=10, max_leaves=0, min_child_weight=1,
               missing=nan, monotone_constraints='()', n_estimators=100,
               n_jobs=0, num_parallel_tree=1, predictor='auto', random_state=0,
               reg_alpha=0, reg_lambda=1, ...)                                  ]",0.5446944359987838,"['fanin' 'wmc' 'lcom' 'staticFieldsQty' 'nosi' 'loc' 'returnQty'
 'comparisonsQty' 'stringLiteralsQty' 'numbersQty' 'assignmentsQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'),
                prefit=True)",None,"RandomOverSampler(sampling_strategy='minority', shrinkage=2)","[RandomOverSampler(sampling_strategy='minority', shrinkage=2)
 GradientBoostingClassifier(max_features=3, max_leaf_nodes=3,
                            min_samples_split=10, min_weight_fraction_leaf=0)]",0.6543965293965293,"['fanin' 'wmc' 'lcom' 'staticFieldsQty' 'nosi' 'loc' 'returnQty'
 'comparisonsQty' 'stringLiteralsQty' 'numbersQty' 'assignmentsQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'),
                prefit=True)",None,RandomOverSampler(sampling_strategy='all'),"[RandomOverSampler(sampling_strategy='all')
 AdaBoostClassifier(learning_rate=1, n_estimators=100)]",0.6077811447811448,"['fanin' 'wmc' 'lcom' 'staticFieldsQty' 'nosi' 'loc' 'returnQty'
 'comparisonsQty' 'stringLiteralsQty' 'numbersQty' 'assignmentsQty'
 'uniqueWordsQty' 'modifiers']"
