class,label,magnitude
JSci.maths.SpecialMath,1,large
Scanner,1,large
accessories.plugins.time.JDayChooser,1,large
bcry.battlecryGUI,1,large
bierse.model.Drink,1,large
client.network.ForwardingObserver,1,large
com.eteks.sweethome3d.viewcontroller.HomeController,1,large
com.google.common.base.CharMatcher,1,large
com.google.common.base.Utf8,1,large
com.google.common.math.BigIntegerMath,1,large
com.google.javascript.jscomp.ReferenceCollectingCallback,-1,large
com.jstevh.viewer.ClassViewer,1,large
com.lts.io.DirectoryScanner,1,large
com.mentorgen.tools.profile.runtime.Profile,-1,large
com.soops.CEN4010.JMCA.JParser.JavaCharStream,1,large
com.soops.CEN4010.JMCA.JParser.JavaParser,1,large
com.yahoo.platform.yui.compressor.JavaScriptCompressor,-1,medium
de.beiri22.stringincrementor.StringIncrementor,1,small
de.beiri22.stringincrementor.helper.IndexedString,1,large
de.devcity.parseargs.ArgsParser,1,large
fi.vtt.noen.mfw.bundle.probe.shared.ProbeInformation,1,large
framework.util.StringUtils,1,large
ghm.follow.search.SearchableTextPane,1,large
gnu.trove.list.linked.TDoubleLinkedList,1,large
gnu.trove.map.hash.TByteFloatHashMap,1,large
gnu.trove.map.hash.TByteObjectHashMap,1,large
ioproject.server.network.ClientGroup,-1,medium
ipac.BinaryCalculate,1,large
jigl.image.levelSetTool.LevelSetNudge,-1,large
jigl.image.ops.ConnectedComponents,1,large
jipa.Main,1,large
mindbright.ssh.SSHSCPGUIThread,1,large
net.kencochrane.a4j.file.FileUtil,1,large
nu.staldal.lagoon.LagoonCLI,1,large
nu.staldal.lagoon.LagoonGUI,1,large
org.apache.commons.cli.HelpFormatter,1,large
org.apache.commons.codec.language.DoubleMetaphone,1,large
org.apache.commons.collections4.list.TreeList,1,large
org.apache.commons.lang3.BooleanUtils,1,large
org.apache.commons.lang3.Conversion,1,large
org.apache.commons.lang3.LocaleUtils,1,large
org.apache.commons.lang3.Validate,1,medium
org.apache.commons.lang3.builder.HashCodeBuilder,1,large
org.apache.commons.lang3.text.StrBuilder,1,large
org.apache.commons.lang3.time.DateUtils,1,large
org.apache.commons.math3.analysis.FunctionUtils,1,medium
org.apache.commons.math3.fraction.Fraction,-1,large
org.apache.commons.math3.geometry.euclidean.threed.Rotation,1,large
org.apache.commons.math3.linear.MatrixUtils,1,large
org.apache.lucene.search.exposed.ExposedTimSort,1,large
org.databene.jdbacl.DBUtil,1,large
org.javathena.login.Login,1,large
org.jdom2.Verifier,1,large
org.jfree.chart.plot.ValueMarker,-1,medium
org.jfree.chart.plot.XYPlot,1,large
org.jfree.data.time.TimeSeries,1,large
org.joda.time.DateTimeZone,-1,large
org.joda.time.MutableDateTime,-1,large
org.joda.time.base.BasePeriod,1,large
org.joda.time.format.DateTimeFormatterBuilder,1,large
org.joda.time.format.PeriodFormatterBuilder,1,large
org.joda.time.tz.ZoneInfoCompiler,1,large
org.mozilla.javascript.Parser,1,large
org.objectweb.asm.jip.MethodWriter,1,large
org.quickserver.net.client.monitoring.HostMonitoringService,-1,large
org.scribe.model.Response,1,large
org.tartarus.snowball.ext.englishStemmer,-1,medium
org.tartarus.snowball.ext.turkishStemmer,1,large
twitter4j.TwitterBaseImpl,1,large
umd.cs.shop.JSTerm,1,large
weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,1,large
weka.core.FindWithCapabilities,1,large
wheel.asm.ClassReader,1,large
