class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
bierse.model.Drink,class,8,18,10,8,67,1,0,34,682,0.8994709,0.0,0.0,45,1,45,0,0,0,45,0,0,1,21,2,2,18,0,1,2,0,20,329,27,0,5,2,8,34,26,97,35,49,3,0,0,0,165,1,13
com.google.common.base.Suppliers,class,13,17,4,13,10,1,0,0,21,0.0,0.0,0.0,7,6,6,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,180,7,0,0,0,0,2,0,1,0,1,1,0,8,0,154,17,0
com.google.javascript.jscomp.ReferenceCollectingCallback,class,23,25,2,23,65,1,0,55,65,0.8111111,0.0,0.0,18,3,11,5,0,2,13,0,0,0,10,1,0,9,0,1,8,0,13,195,13,1,8,0,5,0,5,31,2,27,3,1,2,1,210,17,0
de.tudarmstadt.ukp.wikipedia.api.Title,class,2,12,10,2,15,1,0,17,33,0.8,0.0,0.0,10,0,7,2,1,0,8,0,0,0,6,0,0,6,0,0,1,0,1,75,9,0,1,0,0,8,12,20,3,12,1,0,0,0,115,1,0
gnu.trove.map.hash.TByteFloatHashMap,class,21,27,6,21,93,5,0,52,360,0.7375,0.0,0.0,40,0,36,1,3,0,39,0,0,0,2,1,0,0,1,1,1,0,10,800,34,17,21,1,6,2,38,109,4,81,3,1,5,0,178,1,0
ipac.BinaryCalculate,class,3,7,4,3,62,1,0,28,7,0.6590909,0.0,0.0,11,0,4,7,0,0,4,0,0,0,12,0,0,0,0,12,0,0,15,281,8,12,19,1,3,93,91,174,76,62,5,0,0,0,253,1,0
ipac.WhoIS,class,2,7,5,2,29,5,0,42,62,0.85897446,0.0,0.0,13,0,3,10,0,0,3,0,0,0,12,0,0,0,0,12,0,0,1,271,6,2,5,1,2,104,9,64,19,52,5,7,0,0,308,1,0
jahuwaldt.plot.PlotAxis,class,5,15,10,5,41,1,2,9,288,0.9222689,0.0,0.0,28,0,24,0,4,0,28,3,0,0,14,5,4,1,9,0,5,0,2,129,12,0,4,1,2,2,11,49,4,27,2,0,0,0,219,1025,0
org.apache.commons.lang3.ArrayUtils,class,18,40,22,18,1117,1,0,232,60170,0.98591876,0.0,0.0,361,360,356,3,0,2,358,0,0,0,24,24,24,0,0,0,24,0,558,3454,606,125,296,1,12,51,580,623,201,387,3,0,0,0,547,1,0
org.apache.commons.lang3.ClassUtils,class,7,20,13,7,175,1,0,88,1421,0.97530866,0.0,0.0,54,53,50,4,0,0,54,0,0,0,9,9,4,5,0,0,9,0,54,609,103,19,57,4,0,40,42,81,13,54,3,2,1,2,516,1,0
