TARGET_CLASS,Difference
com.eteks.sweethome3d.SweetHome3D,-1
com.google.common.base.Splitter,-1
com.google.common.base.Suppliers,-1
com.google.javascript.jscomp.ReferenceCollectingCallback,1
com.google.javascript.jscomp.parsing.JsDocInfoParser,-1
com.mentorgen.tools.profile.runtime.Profile,-1
com.werken.saxpath.XPathLexer,-1
de.outstare.fortbattleplayer.model.impl.SimpleSector,-1
de.outstare.fortbattleplayer.statistics.BattleStatistics,-1
de.progra.charting.CoordSystemUtilities,-1
ghm.follow.search.SearchableTextPane,-1
jahuwaldt.plot.PlotAxis,-1
jipa.Variable,1
net.kencochrane.a4j.file.FileUtil,-1
net.sourceforge.ext4j.taglib.bo.Request,-1
net.sourceforge.schemaspy.model.Table,-1
org.apache.commons.collections4.list.TreeList,1
org.apache.commons.lang3.BooleanUtils,-1
org.apache.commons.lang3.LocaleUtils,-1
org.apache.commons.lang3.builder.HashCodeBuilder,1
org.apache.commons.lang3.time.DateUtils,-1
org.apache.commons.lang3.time.DurationFormatUtils,-1
org.apache.commons.math3.fraction.ProperFractionFormat,-1
org.apache.commons.math3.linear.SchurTransformer,1
org.jfree.data.time.TimeSeries,-1
org.joda.time.Partial,-1
org.joda.time.Period,-1
org.joda.time.chrono.BasicMonthOfYearDateTimeField,1
org.joda.time.format.DateTimeFormatter,1
twitter4j.TwitterImpl,-1
umd.cs.shop.JSJshop,1
umd.cs.shop.JSState,-1
